station_id,window_start_vehicle,window_end_vehicle,window_start_time,window_end_time,n_observations,anomaly_score,anomaly_status,key_signals
S02,181,200,2026-01-05 10:32:44.231775,2026-01-05 11:01:11.445655,20,0.4193,MEDIUM,none
S02,201,220,2026-01-05 11:02:46.221264,2026-01-05 11:31:14.365815,20,0.428,MEDIUM,none
S02,221,240,2026-01-05 11:32:38.950963,2026-01-05 12:01:10.990253,20,0.4079,MEDIUM,none
S02,241,260,2026-01-05 12:02:50.046501,2026-01-05 12:31:08.865735,20,0.3815,LOW,none
S02,261,280,2026-01-05 12:32:52.436734,2026-01-05 13:01:15.253680,20,0.3345,LOW,none
S02,281,300,2026-01-05 13:02:41.914362,2026-01-05 13:31:07.400339,20,0.4704,MEDIUM,throughput variability increasing
S02,301,320,2026-01-05 13:32:41.406539,2026-01-05 14:01:17.705800,20,0.3605,LOW,none
S02,321,340,2026-01-05 14:02:37.109793,2026-01-05 14:31:11.524094,20,0.4129,MEDIUM,none
S02,341,360,2026-01-05 14:32:38.462448,2026-01-05 15:01:12.019572,20,0.386,LOW,none
S02,361,380,2026-01-05 15:02:38.315307,2026-01-05 15:31:08.161236,20,0.4125,MEDIUM,queue_length variability increasing
S02,381,400,2026-01-05 15:32:44.321681,2026-01-05 16:01:03.947387,20,0.3448,LOW,none
S03,1,20,2026-01-05 06:03:56.444780,2026-01-05 06:32:19.774997,20,0.3653,LOW,none
S03,21,40,2026-01-05 06:33:59.674013,2026-01-05 07:02:35.426929,20,0.3838,LOW,none
S03,41,60,2026-01-05 07:03:58.130473,2026-01-05 07:32:25.093341,20,0.3263,LOW,none
S03,61,80,2026-01-05 07:33:59.372619,2026-01-05 08:02:21.493319,20,0.4912,MEDIUM,vibration variability increasing
S03,81,100,2026-01-05 08:04:02.738209,2026-01-05 08:32:25.649259,20,0.4177,LOW,none
S03,101,120,2026-01-05 08:34:02.108143,2026-01-05 09:02:31.193716,20,0.4228,LOW,none
S03,121,140,2026-01-05 09:03:48.717316,2026-01-05 09:32:35.951597,20,0.4643,LOW,none
S03,141,160,2026-01-05 09:34:02.507820,2026-01-05 10:02:31.937918,20,0.4038,LOW,none
S03,161,180,2026-01-05 10:03:59.650934,2026-01-05 10:32:28.337907,20,0.3378,LOW,none
S03,181,200,2026-01-05 10:34:03.092490,2026-01-05 11:02:23.818198,20,0.4155,LOW,throughput variability increasing
S03,201,220,2026-01-05 11:04:03.206490,2026-01-05 11:32:21.568847,20,0.5031,MEDIUM,none
S03,221,240,2026-01-05 11:33:54.424876,2026-01-05 12:02:30.118301,20,0.4515,LOW,none
S03,241,260,2026-01-05 12:04:11.016952,2026-01-05 12:32:24.836836,20,0.327,LOW,none
S03,261,280,2026-01-05 12:34:01.209397,2026-01-05 13:02:27.329432,20,0.4277,LOW,none
S03,281,300,2026-01-05 13:04:01.042968,2026-01-05 13:32:18.038572,20,0.407,LOW,none
S03,301,320,2026-01-05 13:33:51.589625,2026-01-05 14:02:44.401213,20,0.4598,LOW,vibration variability increasing
S03,321,340,2026-01-05 14:03:58.518532,2026-01-05 14:32:24.638800,20,0.4436,LOW,none
S03,341,360,2026-01-05 14:33:51.890686,2026-01-05 15:02:33.927600,20,0.4759,LOW,none
S03,361,380,2026-01-05 15:04:00.893906,2026-01-05 15:32:16.908714,20,0.3755,LOW,none
S03,381,400,2026-01-05 15:34:09.733290,2026-01-05 16:02:21.490687,20,0.4986,MEDIUM,throughput variability increasing
S04,1,20,2026-01-05 06:05:19.608635,2026-01-05 06:33:45.192177,20,0.3678,LOW,none
S04,21,40,2026-01-05 06:35:15.826711,2026-01-05 07:03:49.880316,20,0.2666,LOW,none
S04,41,60,2026-01-05 07:05:22.052242,2026-01-05 07:33:43.524613,20,0.3553,LOW,none
S04,61,80,2026-01-05 07:35:13.447545,2026-01-05 08:03:52.326798,20,0.4287,LOW,none
S04,81,100,2026-01-05 08:05:23.069951,2026-01-05 08:33:45.748132,20,0.3874,LOW,none
S04,101,120,2026-01-05 08:35:29.582382,2026-01-05 09:03:45.709156,20,0.3132,LOW,none
S04,121,140,2026-01-05 09:05:07.712913,2026-01-05 09:34:03.458522,20,0.4025,LOW,temperature variability increasing
S04,141,160,2026-01-05 09:35:21.057408,2026-01-05 10:03:58.881074,20,0.4123,LOW,none
S04,161,180,2026-01-05 10:05:15.810143,2026-01-05 10:33:44.260738,20,0.4049,LOW,none
S04,181,200,2026-01-05 10:35:20.464358,2026-01-05 11:03:38.640444,20,0.3403,LOW,none
S04,201,220,2026-01-05 11:05:25.590002,2026-01-05 11:33:40.270493,20,0.3141,LOW,none
S04,221,240,2026-01-05 11:35:10.708240,2026-01-05 12:03:37.727458,20,0.3829,LOW,none
S04,241,260,2026-01-05 12:05:29.579899,2026-01-05 12:33:39.487126,20,0.3577,LOW,none
S04,261,280,2026-01-05 12:35:18.630336,2026-01-05 13:03:50.527987,20,0.3352,LOW,none
S04,281,300,2026-01-05 13:05:22.085182,2026-01-05 13:33:27.557566,20,0.4512,LOW,none
S04,301,320,2026-01-05 13:35:11.746791,2026-01-05 14:04:02.672777,20,0.3002,LOW,none
S04,321,340,2026-01-05 14:05:20.493755,2026-01-05 14:33:44.528643,20,0.3361,LOW,none
S04,341,360,2026-01-05 14:35:08.220282,2026-01-05 15:03:52.347488,20,0.3707,LOW,none
S04,361,380,2026-01-05 15:05:19.139169,2026-01-05 15:33:30.400103,20,0.4044,LOW,none
S04,381,400,2026-01-05 15:35:22.240625,2026-01-05 16:03:53.085019,20,0.385,LOW,none
S05,1,20,2026-01-05 06:06:43.406620,2026-01-05 06:34:59.386811,20,0.4213,LOW,none
S05,21,40,2026-01-05 06:36:33.175428,2026-01-05 07:05:12.767627,20,0.2931,LOW,none
S05,41,60,2026-01-05 07:06:39.123688,2026-01-05 07:35:02.243973,20,0.3552,LOW,none
S05,61,80,2026-01-05 07:36:31.749492,2026-01-05 08:05:09.311230,20,0.378,LOW,none
S05,81,100,2026-01-05 08:06:48.144638,2026-01-05 08:35:08.020446,20,0.4317,LOW,none
S05,101,120,2026-01-05 08:36:54.312219,2026-01-05 09:05:05.604464,20,0.3779,LOW,none
S05,121,140,2026-01-05 09:06:24.682085,2026-01-05 09:35:17.912088,20,0.4195,LOW,none
S05,141,160,2026-01-05 09:36:45.388911,2026-01-05 10:05:26.164193,20,0.3998,LOW,none
S05,161,180,2026-01-05 10:06:39.991797,2026-01-05 10:35:05.768609,20,0.3714,LOW,none
S05,181,200,2026-01-05 10:36:32.890195,2026-01-05 11:04:59.554174,20,0.4029,LOW,none
S05,201,220,2026-01-05 11:06:46.404586,2026-01-05 11:34:56.866834,20,0.4169,LOW,none
S05,221,240,2026-01-05 11:36:38.196433,2026-01-05 12:05:07.134441,20,0.3913,LOW,none
S05,241,260,2026-01-05 12:06:55.269926,2026-01-05 12:34:54.329616,20,0.4111,LOW,none
S05,261,280,2026-01-05 12:36:34.111351,2026-01-05 13:05:12.535812,20,0.3727,LOW,none
S05,281,300,2026-01-05 13:06:43.614040,2026-01-05 13:34:44.452856,20,0.3328,LOW,none
S05,301,320,2026-01-05 13:36:35.666711,2026-01-05 14:05:23.266503,20,0.4518,LOW,none
S05,321,340,2026-01-05 14:06:41.621987,2026-01-05 14:35:10.518048,20,0.3967,LOW,none
S05,341,360,2026-01-05 14:36:37.628157,2026-01-05 15:05:29.624614,20,0.3974,LOW,none
S05,361,380,2026-01-05 15:06:31.291910,2026-01-05 15:34:59.460084,20,0.3685,LOW,none
S05,381,400,2026-01-05 15:36:41.502006,2026-01-05 16:05:09.759187,20,0.4625,LOW,none
S06,1,20,2026-01-05 06:07:52.928040,2026-01-05 06:36:12.952050,20,0.3278,LOW,none
S06,21,40,2026-01-05 06:37:41.464740,2026-01-05 07:06:24.334492,20,0.3769,LOW,none
S06,41,60,2026-01-05 07:07:51.071997,2026-01-05 07:36:16.531424,20,0.3113,LOW,none
S06,61,80,2026-01-05 07:37:43.712660,2026-01-05 08:06:20.342647,20,0.4606,MEDIUM,none
S06,81,100,2026-01-05 08:07:56.836660,2026-01-05 08:36:18.051250,20,0.4174,LOW,none
S06,101,120,2026-01-05 08:38:06.904310,2026-01-05 09:06:14.728970,20,0.4266,LOW,none
S06,121,140,2026-01-05 09:07:34.075966,2026-01-05 09:36:28.581830,20,0.4114,LOW,none
S06,141,160,2026-01-05 09:37:52.160988,2026-01-05 10:06:45.450684,20,0.4303,LOW,none
S06,161,180,2026-01-05 10:07:56.406129,2026-01-05 10:36:15.397121,20,0.4151,LOW,none
S06,181,200,2026-01-05 10:37:44.600202,2026-01-05 11:06:05.221790,20,0.405,LOW,none
S06,201,220,2026-01-05 11:07:54.140742,2026-01-05 11:36:14.516178,20,0.4211,LOW,none
S06,221,240,2026-01-05 11:37:52.028797,2026-01-05 12:06:09.524758,20,0.4754,MEDIUM,cycle_time variability increasing
S06,241,260,2026-01-05 12:08:10.314704,2026-01-05 12:36:06.822837,20,0.4163,LOW,none
S06,261,280,2026-01-05 12:37:39.842817,2026-01-05 13:06:22.906125,20,0.3749,LOW,none
S06,281,300,2026-01-05 13:07:59.303042,2026-01-05 13:35:59.150063,20,0.3717,LOW,none
S06,301,320,2026-01-05 13:37:46.961220,2026-01-05 14:06:43.013800,20,0.4373,LOW,none
S06,321,340,2026-01-05 14:07:47.146146,2026-01-05 14:36:19.017333,20,0.463,MEDIUM,cycle_time variability increasing
S06,341,360,2026-01-05 14:37:41.993891,2026-01-05 15:06:40.685680,20,0.4073,LOW,cycle_time variability increasing
S06,361,380,2026-01-05 15:07:50.021109,2026-01-05 15:36:11.444324,20,0.4414,LOW,none
S06,381,400,2026-01-05 15:37:44.510275,2026-01-05 16:06:11.138325,20,0.3597,LOW,none
S07,1,20,2026-01-05 06:09:06.885896,2026-01-05 06:37:22.115501,20,0.3531,LOW,none
S07,21,40,2026-01-05 06:38:58.182773,2026-01-05 07:07:32.412546,20,0.3946,LOW,none
S07,41,60,2026-01-05 07:09:05.258163,2026-01-05 07:37:33.251159,20,0.3294,LOW,none
S07,61,80,2026-01-05 07:38:52.704729,2026-01-05 08:07:36.863414,20,0.3609,LOW,none
S07,81,100,2026-01-05 08:09:11.007084,2026-01-05 08:37:27.145454,20,0.3676,LOW,none
S07,101,120,2026-01-05 08:39:22.964416,2026-01-05 09:07:24.855917,20,0.3819,LOW,none
S07,121,140,2026-01-05 09:08:48.204421,2026-01-05 09:37:41.927062,20,0.4302,LOW,none
S07,141,160,2026-01-05 09:39:03.322227,2026-01-05 10:07:57.975379,20,0.3996,LOW,vibration variability increasing
S07,161,180,2026-01-05 10:09:10.617151,2026-01-05 10:37:29.015917,20,0.3724,LOW,none
S07,181,200,2026-01-05 10:38:58.603741,2026-01-05 11:07:20.140533,20,0.4291,LOW,torque variability increasing
S07,201,220,2026-01-05 11:09:17.457436,2026-01-05 11:37:26.791345,20,0.4985,MEDIUM,none
S07,221,240,2026-01-05 11:38:53.429559,2026-01-05 12:07:19.947370,20,0.5075,MEDIUM,none
S07,241,260,2026-01-05 12:09:23.984844,2026-01-05 12:37:25.197037,20,0.4216,LOW,none
S07,261,280,2026-01-05 12:38:59.899874,2026-01-05 13:07:42.708481,20,0.4711,LOW,none
S07,281,300,2026-01-05 13:09:05.235562,2026-01-05 13:37:11.631636,20,0.3837,LOW,none
S07,301,320,2026-01-05 13:39:01.289970,2026-01-05 14:08:00.026537,20,0.3497,LOW,none
S07,321,340,2026-01-05 14:09:03.756785,2026-01-05 14:37:29.223793,20,0.3593,LOW,none
S07,341,360,2026-01-05 14:38:53.736940,2026-01-05 15:08:01.124419,20,0.3857,LOW,none
S07,361,380,2026-01-05 15:08:58.231116,2026-01-05 15:37:21.498390,20,0.4162,LOW,none
S07,381,400,2026-01-05 15:38:55.060256,2026-01-05 16:07:23.452286,20,0.4284,LOW,none
S08,1,20,2026-01-05 06:10:20.740997,2026-01-05 06:38:31.332633,20,0.4116,LOW,none
S08,21,40,2026-01-05 06:40:13.984638,2026-01-05 07:08:41.734063,20,0.321,LOW,none
S08,41,60,2026-01-05 07:10:25.724764,2026-01-05 07:38:55.268212,20,0.3509,LOW,none
S08,61,80,2026-01-05 07:40:09.381312,2026-01-05 08:08:55.239495,20,0.3037,LOW,none
S08,81,100,2026-01-05 08:10:23.601638,2026-01-05 08:38:36.814614,20,0.3621,LOW,none
S08,101,120,2026-01-05 08:40:34.391058,2026-01-05 09:08:38.279070,20,0.4839,LOW,none
S08,121,140,2026-01-05 09:10:10.888182,2026-01-05 09:39:00.308844,20,0.489,LOW,none
S08,141,160,2026-01-05 09:40:20.951104,2026-01-05 10:09:17.373403,20,0.6043,MEDIUM,throughput decreasing
S08,161,180,2026-01-05 10:10:19.158786,2026-01-05 10:38:48.400602,20,0.7696,HIGH,queue_length increasing; throughput decreasing
S08,181,200,2026-01-05 10:40:10.098213,2026-01-05 11:08:34.760103,20,0.9826,HIGH,cycle_time increasing; queue_length increasing; throughput decreasing
S08,201,220,2026-01-05 11:10:41.989672,2026-01-05 11:38:44.584898,20,1.0636,HIGH,cycle_time increasing; queue_length increasing; throughput decreasing
S08,221,240,2026-01-05 11:40:00.175883,2026-01-05 12:08:32.121508,20,1.1287,HIGH,cycle_time increasing; queue_length increasing; throughput decreasing; torque variability increasing
S08,241,260,2026-01-05 12:10:40.133608,2026-01-05 12:38:44.439515,20,1.1687,HIGH,cycle_time increasing; queue_length increasing; throughput decreasing
S08,261,280,2026-01-05 12:40:12.382922,2026-01-05 13:09:03.725836,20,1.1811,HIGH,cycle_time increasing; queue_length increasing; throughput decreasing
S08,281,300,2026-01-05 13:10:24.177437,2026-01-05 13:38:22.180748,20,1.1966,HIGH,cycle_time increasing; cycle_time variability increasing; queue_length increasing; throughput decreasing
S08,301,320,2026-01-05 13:40:13.331483,2026-01-05 14:09:17.830238,20,1.213,HIGH,cycle_time increasing; cycle_time variability increasing; queue_length increasing; throughput decreasing; torque variability increasing
S08,321,340,2026-01-05 14:10:23.350414,2026-01-05 14:38:39.453555,20,1.2172,HIGH,cycle_time increasing; cycle_time variability increasing; queue_length increasing; throughput decreasing
S08,341,360,2026-01-05 14:40:11.870033,2026-01-05 15:09:12.029994,20,1.2243,HIGH,cycle_time increasing; cycle_time variability increasing; queue_length increasing; throughput decreasing; torque variability increasing
S08,361,380,2026-01-05 15:10:16.119814,2026-01-05 15:38:32.825571,20,1.2258,HIGH,cycle_time increasing; cycle_time variability increasing; queue_length increasing; throughput decreasing; torque variability increasing
S08,381,400,2026-01-05 15:40:12.149437,2026-01-05 16:08:34.488833,20,1.2299,HIGH,cycle_time increasing; cycle_time variability increasing; queue_length increasing; throughput decreasing; torque variability increasing
S09,1,20,2026-01-05 06:11:42.519691,2026-01-05 06:39:40.836663,20,0.3646,LOW,none
S09,21,40,2026-01-05 06:41:34.743122,2026-01-05 07:09:55.549392,20,0.3412,LOW,none
S09,41,60,2026-01-05 07:11:50.001370,2026-01-05 07:40:14.583141,20,0.381,LOW,none
S09,61,80,2026-01-05 07:41:27.923388,2026-01-05 08:10:17.167975,20,0.3951,LOW,none
S09,81,100,2026-01-05 08:11:45.097799,2026-01-05 08:39:57.898380,20,0.4115,LOW,none
S09,101,120,2026-01-05 08:41:47.762807,2026-01-05 09:10:05.230319,20,0.3328,LOW,none
S09,121,140,2026-01-05 09:11:33.771898,2026-01-05 09:40:31.645106,20,0.3,LOW,none
S09,141,160,2026-01-05 09:41:39.886820,2026-01-05 10:10:35.283084,20,0.4764,LOW,none
S09,161,180,2026-01-05 10:11:36.880409,2026-01-05 10:40:13.074955,20,0.3841,LOW,throughput variability increasing
S09,181,200,2026-01-05 10:41:49.254667,2026-01-05 11:10:02.214958,20,0.4543,LOW,none
S09,201,220,2026-01-05 11:12:07.279701,2026-01-05 11:40:28.086460,20,0.4903,LOW,none
S09,221,240,2026-01-05 11:41:33.059037,2026-01-05 12:10:02.972834,20,0.5828,MEDIUM,throughput decreasing
S09,241,260,2026-01-05 12:12:12.240976,2026-01-05 12:40:18.639147,20,0.49,LOW,throughput decreasing
S09,261,280,2026-01-05 12:41:34.750800,2026-01-05 13:10:39.736816,20,0.5816,MEDIUM,throughput decreasing
S09,281,300,2026-01-05 13:12:00.186775,2026-01-05 13:39:51.209064,20,0.6486,HIGH,throughput decreasing
S09,301,320,2026-01-05 13:41:55.710123,2026-01-05 14:11:20.530016,20,0.697,HIGH,queue_length increasing; throughput decreasing
S09,321,340,2026-01-05 14:12:12.950214,2026-01-05 14:40:31.780859,20,0.5643,MEDIUM,throughput decreasing
S09,341,360,2026-01-05 14:41:48.311441,2026-01-05 15:10:58.391105,20,0.6331,HIGH,throughput decreasing
S09,361,380,2026-01-05 15:12:13.871075,2026-01-05 15:39:59.032787,20,0.6454,HIGH,throughput decreasing
S09,381,400,2026-01-05 15:42:02.877539,2026-01-05 16:10:29.118642,20,0.7118,HIGH,queue_length increasing; throughput decreasing
S10,1,20,2026-01-05 06:12:59.995986,2026-01-05 06:41:03.443345,20,0.344,LOW,none
S10,21,40,2026-01-05 06:43:00.278740,2026-01-05 07:11:14.701589,20,0.3745,LOW,none
S10,41,60,2026-01-05 07:13:19.274530,2026-01-05 07:41:36.965695,20,0.2871,LOW,none
S10,61,80,2026-01-05 07:42:48.502062,2026-01-05 08:11:34.391042,20,0.3057,LOW,none
S10,81,100,2026-01-05 08:13:07.532976,2026-01-05 08:41:24.224069,20,0.3683,LOW,none
S10,101,120,2026-01-05 08:42:56.064501,2026-01-05 09:11:27.473129,20,0.307,LOW,none
S10,121,140,2026-01-05 09:12:53.518203,2026-01-05 09:41:49.557760,20,0.4009,LOW,none
S10,141,160,2026-01-05 09:42:53.683703,2026-01-05 10:11:57.680673,20,0.3697,LOW,none
S10,161,180,2026-01-05 10:13:06.515575,2026-01-05 10:41:29.720767,20,0.3433,LOW,none
S10,181,200,2026-01-05 10:43:06.294399,2026-01-05 11:11:24.449756,20,0.3667,LOW,none
S10,201,220,2026-01-05 11:13:22.765313,2026-01-05 11:41:42.818484,20,0.3782,LOW,none
S10,221,240,2026-01-05 11:42:57.756175,2026-01-05 12:11:28.332061,20,0.4054,LOW,vibration variability increasing
S10,241,260,2026-01-05 12:13:40.770132,2026-01-05 12:41:36.456822,20,0.5512,MEDIUM,cycle_time variability increasing
S10,261,280,2026-01-05 12:42:58.224494,2026-01-05 13:11:59.640349,20,0.4555,MEDIUM,none
S10,281,300,2026-01-05 13:13:23.310309,2026-01-05 13:41:03.921385,20,0.487,MEDIUM,none
S10,301,320,2026-01-05 13:43:11.672888,2026-01-05 14:12:41.047916,20,0.4597,MEDIUM,none
S10,321,340,2026-01-05 14:13:40.792446,2026-01-05 14:41:48.240665,20,0.4687,MEDIUM,throughput decreasing
S10,341,360,2026-01-05 14:43:04.738599,2026-01-05 15:12:27.949927,20,0.5088,MEDIUM,throughput decreasing
S10,361,380,2026-01-05 15:13:35.930014,2026-01-05 15:41:14.143865,20,0.4975,MEDIUM,none
S10,381,400,2026-01-05 15:43:23.249278,2026-01-05 16:11:58.867579,20,0.3621,LOW,none
S11,1,20,2026-01-05 06:14:07.215897,2026-01-05 06:42:15.036591,20,0.365,LOW,none
S11,21,40,2026-01-05 06:44:04.636946,2026-01-05 07:12:27.028541,20,0.2697,LOW,none
S11,41,60,2026-01-05 07:14:28.770584,2026-01-05 07:42:57.458182,20,0.3757,LOW,none
S11,61,80,2026-01-05 07:43:54.360957,2026-01-05 08:12:42.907078,20,0.4889,MEDIUM,none
S11,81,100,2026-01-05 08:14:22.712226,2026-01-05 08:42:33.897886,20,0.3996,LOW,none
S11,101,120,2026-01-05 08:44:09.563495,2026-01-05 09:12:35.531869,20,0.4073,LOW,temperature variability increasing
S11,121,140,2026-01-05 09:13:58.777483,2026-01-05 09:43:01.717033,20,0.3283,LOW,none
S11,141,160,2026-01-05 09:44:08.711815,2026-01-05 10:13:08.179841,20,0.3186,LOW,none
S11,161,180,2026-01-05 10:14:11.832873,2026-01-05 10:42:37.165053,20,0.4027,LOW,none
S11,181,200,2026-01-05 10:44:17.314980,2026-01-05 11:12:38.628733,20,0.3692,LOW,none
S11,201,220,2026-01-05 11:14:39.144947,2026-01-05 11:42:56.388796,20,0.4154,LOW,none
S11,221,240,2026-01-05 11:44:17.125832,2026-01-05 12:12:41.078908,20,0.448,MEDIUM,temperature variability increasing
S11,241,260,2026-01-05 12:14:57.033897,2026-01-05 12:42:43.542559,20,0.4262,LOW,none
S11,261,280,2026-01-05 12:44:18.784990,2026-01-05 13:13:08.339013,20,0.323,LOW,none
S11,281,300,2026-01-05 13:14:30.612517,2026-01-05 13:42:12.938012,20,0.4204,LOW,none
S11,301,320,2026-01-05 13:44:24.902348,2026-01-05 14:13:57.791750,20,0.4712,MEDIUM,none
S11,321,340,2026-01-05 14:14:51.515287,2026-01-05 14:43:07.431181,20,0.3902,LOW,none
S11,341,360,2026-01-05 14:44:15.137170,2026-01-05 15:13:35.397824,20,0.3283,LOW,none
S11,361,380,2026-01-05 15:14:43.831190,2026-01-05 15:42:21.366366,20,0.4563,MEDIUM,none
S11,381,400,2026-01-05 15:44:32.083681,2026-01-05 16:13:05.933583,20,0.4764,MEDIUM,none
S12,1,20,2026-01-05 06:15:35.689984,2026-01-05 06:43:51.842822,20,0.2645,LOW,none
S12,21,40,2026-01-05 06:45:34.683223,2026-01-05 07:13:56.904072,20,0.3478,LOW,none
S12,41,60,2026-01-05 07:16:03.697080,2026-01-05 07:44:31.799488,20,0.3831,LOW,none
S12,61,80,2026-01-05 07:45:12.490173,2026-01-05 08:14:13.115543,20,0.3544,LOW,none
S12,81,100,2026-01-05 08:15:50.052788,2026-01-05 08:43:59.255216,20,0.2927,LOW,none
S12,101,120,2026-01-05 08:45:42.069261,2026-01-05 09:14:00.126576,20,0.4073,LOW,none
S12,121,140,2026-01-05 09:15:17.673533,2026-01-05 09:44:33.820044,20,0.3483,LOW,none
S12,141,160,2026-01-05 09:45:38.169880,2026-01-05 10:14:36.131399,20,0.3861,LOW,none
S12,161,180,2026-01-05 10:15:43.395218,2026-01-05 10:44:11.591801,20,0.2862,LOW,none
S12,181,200,2026-01-05 10:45:52.242338,2026-01-05 11:14:13.251368,20,0.3291,LOW,none
S12,201,220,2026-01-05 11:16:15.251471,2026-01-05 11:44:35.934630,20,0.3427,LOW,none
S12,221,240,2026-01-05 11:45:50.683521,2026-01-05 12:14:12.563640,20,0.3229,LOW,none
S12,241,260,2026-01-05 12:16:15.837941,2026-01-05 12:44:16.542140,20,0.2746,LOW,none
S12,261,280,2026-01-05 12:45:54.557567,2026-01-05 13:14:39.963438,20,0.3548,LOW,none
S12,281,300,2026-01-05 13:15:53.135567,2026-01-05 13:43:46.199047,20,0.3855,LOW,none
S12,301,320,2026-01-05 13:45:44.816120,2026-01-05 14:15:25.581089,20,0.2421,LOW,none
S12,321,340,2026-01-05 14:16:19.864883,2026-01-05 14:44:32.514616,20,0.4107,LOW,none
S12,341,360,2026-01-05 14:45:43.029784,2026-01-05 15:14:58.356282,20,0.3454,LOW,none
S12,361,380,2026-01-05 15:16:12.667032,2026-01-05 15:43:45.034076,20,0.3304,LOW,none
S12,381,400,2026-01-05 15:45:58.088539,2026-01-05 16:14:33.115171,20,0.299,LOW,none
S13,1,20,2026-01-05 06:17:06.579837,2026-01-05 06:45:33.280583,20,0.38,LOW,none
S13,21,40,2026-01-05 06:47:02.963811,2026-01-05 07:15:20.810108,20,0.3418,LOW,none
S13,41,60,2026-01-05 07:17:40.956346,2026-01-05 07:46:11.206180,20,0.4262,LOW,none
S13,61,80,2026-01-05 07:46:40.211324,2026-01-05 08:15:38.538825,20,0.3918,LOW,cycle_time variability increasing
S13,81,100,2026-01-05 08:17:26.779057,2026-01-05 08:45:29.071404,20,0.4495,LOW,none
S13,101,120,2026-01-05 08:47:07.839557,2026-01-05 09:15:35.146848,20,0.447,LOW,none
S13,121,140,2026-01-05 09:16:56.062531,2026-01-05 09:46:15.226643,20,0.4625,LOW,cycle_time variability increasing
S13,141,160,2026-01-05 09:47:18.587107,2026-01-05 10:16:13.002704,20,0.387,LOW,none
S13,161,180,2026-01-05 10:17:10.281688,2026-01-05 10:45:42.411416,20,0.4403,LOW,none
S13,181,200,2026-01-05 10:47:06.229711,2026-01-05 11:15:38.529141,20,0.4632,LOW,none
S13,201,220,2026-01-05 11:17:49.485518,2026-01-05 11:46:12.456555,20,0.4186,LOW,none
S13,221,240,2026-01-05 11:47:32.238243,2026-01-05 12:15:38.713497,20,0.3643,LOW,none
S13,241,260,2026-01-05 12:17:43.733055,2026-01-05 12:45:47.558500,20,0.4894,LOW,none
