vehicle_id,timestamp,station_id,station_type,cycle_time,queue_length,throughput,torque,temperature,vibration,part_quality,operator_variation,sensor_coverage,inspection_result,defect
V00002,2026-01-05 06:04:19.891294,S02,Body Construction,78.07,1.11,46.7,100.92,23.65,0.49,0.92,0.005,HIGH,,False
V00002,2026-01-05 06:05:37.963451,S03,Body Construction,85.97,0.0,45.25,101.27,23.55,0.324,0.943,0.052,HIGH,,False
V00002,2026-01-05 06:07:03.938323,S04,Body Construction,74.45,2.69,43.47,97.18,23.6,,0.953,0.104,PARTIAL,,False
V00002,2026-01-05 06:08:18.391725,S05,Body Construction,74.95,2.35,54.12,103.39,23.64,0.507,0.902,0.03,HIGH,,False
V00002,2026-01-05 06:09:33.336855,S06,Body Construction,67.84,2.63,49.03,105.39,26.18,0.573,0.867,-0.002,HIGH,,False
V00002,2026-01-05 06:10:41.175885,S07,Body Construction,70.66,1.59,49.52,100.17,,0.503,0.881,-0.04,PARTIAL,,False
V00002,2026-01-05 06:11:51.831532,S08,Body Construction,80.48,2.92,46.4,93.89,,,0.995,-0.124,PARTIAL,,False
V00002,2026-01-05 06:13:12.310457,S09,Body Construction,79.09,2.47,41.82,105.35,25.02,0.443,0.963,0.032,HIGH,,False
V00002,2026-01-05 06:14:31.402228,S10,Body Construction,70.98,2.19,51.85,97.04,23.82,0.538,0.97,-0.032,HIGH,PASS,False
V00002,2026-01-05 06:15:42.380316,S11,Paint,96.91,2.41,39.45,102.72,60.01,0.633,0.964,0.025,HIGH,,False
V00002,2026-01-05 06:17:19.291289,S12,Paint,96.09,4.86,38.47,,,0.511,0.982,-0.096,PARTIAL,,False
V00002,2026-01-05 06:18:55.383259,S13,Paint,89.72,1.72,36.23,102.63,,,0.838,0.003,PARTIAL,,False
V00002,2026-01-05 06:20:25.098672,S14,Paint,98.14,3.37,36.39,,,,0.902,-0.018,MANUAL,,False
V00002,2026-01-05 06:22:03.239709,S15,Paint,86.0,3.66,41.85,100.9,59.86,0.583,0.85,-0.039,HIGH,,False
V00002,2026-01-05 06:23:29.243267,S16,Paint,81.09,1.13,39.63,,,0.609,0.983,-0.004,PARTIAL,,False
V00002,2026-01-05 06:24:50.328397,S17,Paint,100.55,3.07,37.74,94.52,58.93,0.464,0.962,0.052,HIGH,,False
V00002,2026-01-05 06:26:30.881407,S18,Paint,88.96,3.31,35.95,101.1,57.8,,0.906,-0.032,PARTIAL,,False
V00002,2026-01-05 06:27:59.837110,S19,Paint,94.52,2.48,36.1,,,,0.916,-0.148,MANUAL,,False
V00002,2026-01-05 06:29:34.354411,S20,Paint,90.44,2.73,43.77,100.82,60.42,0.695,1.0,0.002,HIGH,PASS,False
V00002,2026-01-05 06:31:04.797245,S21,Final Assembly,72.39,1.82,53.47,,,,0.847,-0.112,MANUAL,,False
V00002,2026-01-05 06:32:17.188305,S22,Final Assembly,69.05,2.27,53.65,100.91,24.42,0.459,0.919,0.006,HIGH,PASS,False
V00002,2026-01-05 06:33:26.234348,S23,Final Assembly,72.49,3.35,46.98,,,,0.934,0.058,MANUAL,,False
V00002,2026-01-05 06:34:38.728040,S24,Final Assembly,76.74,2.36,45.66,,24.8,,0.945,-0.017,PARTIAL,,False
V00002,2026-01-05 06:35:55.465702,S25,Final Assembly,66.77,2.25,56.94,,,,0.985,0.09,MANUAL,,False
V00002,2026-01-05 06:37:02.236168,S26,Final Assembly,65.06,1.3,48.23,,,,0.949,-0.156,MANUAL,,False
V00002,2026-01-05 06:38:07.300688,S27,Final Assembly,69.73,2.58,50.57,103.23,,0.431,0.966,0.098,PARTIAL,,False
V00002,2026-01-05 06:39:17.034091,S28,Final Assembly,69.69,1.79,50.6,,,,0.935,0.026,MANUAL,,False
V00002,2026-01-05 06:40:26.726627,S29,Final Assembly,84.23,2.21,45.43,,,,0.908,0.115,MANUAL,,False
V00002,2026-01-05 06:41:50.955624,S30,Final Assembly,55.66,1.87,52.58,98.14,23.78,0.475,0.924,0.006,HIGH,PASS,False
V00003,2026-01-05 06:04:30.000000,S01,Body Construction,76.1,2.53,49.88,102.41,26.44,0.491,0.918,-0.023,HIGH,,False
V00003,2026-01-05 06:05:46.096001,S02,Body Construction,71.29,1.0,46.11,100.62,24.06,0.423,0.966,0.022,HIGH,,False
V00003,2026-01-05 06:06:57.388884,S03,Body Construction,78.24,1.48,46.32,96.94,23.92,0.526,0.894,0.006,HIGH,,False
V00003,2026-01-05 06:08:15.632151,S04,Body Construction,74.84,3.07,45.55,100.15,21.11,,0.918,-0.064,PARTIAL,,False
V00003,2026-01-05 06:09:30.474424,S05,Body Construction,73.0,3.6,49.61,98.08,25.93,0.378,0.94,0.055,HIGH,,False
V00003,2026-01-05 06:10:43.474889,S06,Body Construction,65.77,0.98,48.69,100.47,24.29,0.323,0.951,-0.017,HIGH,,False
V00003,2026-01-05 06:11:49.240184,S07,Body Construction,81.81,1.5,46.46,103.53,,0.331,0.952,-0.062,PARTIAL,,False
V00003,2026-01-05 06:13:11.051664,S08,Body Construction,80.12,0.86,46.18,94.37,,,0.905,0.087,PARTIAL,,False
V00003,2026-01-05 06:14:31.166872,S09,Body Construction,79.83,2.03,44.26,99.32,23.36,0.459,0.985,-0.031,HIGH,,False
V00003,2026-01-05 06:15:50.998862,S10,Body Construction,59.87,3.29,55.36,93.94,23.63,0.471,0.922,-0.033,HIGH,PASS,False
V00003,2026-01-05 06:16:50.865185,S11,Paint,91.8,1.8,41.3,106.59,59.6,0.486,0.955,-0.052,HIGH,,False
V00003,2026-01-05 06:18:22.666054,S12,Paint,93.92,2.69,40.86,,58.68,0.559,0.943,-0.052,PARTIAL,,False
V00003,2026-01-05 06:19:56.583354,S13,Paint,98.03,3.97,36.75,94.88,,,0.927,-0.102,PARTIAL,,False
V00003,2026-01-05 06:21:34.615800,S14,Paint,91.21,3.39,35.08,,,,0.877,0.084,MANUAL,,False
V00003,2026-01-05 06:23:05.824910,S15,Paint,86.78,4.91,42.89,100.75,60.98,0.563,0.98,-0.016,HIGH,,False
V00003,2026-01-05 06:24:32.606599,S16,Paint,86.67,2.62,41.41,,,0.531,0.92,0.057,PARTIAL,,False
V00003,2026-01-05 06:25:59.281523,S17,Paint,80.44,2.34,37.8,90.63,58.9,0.48,0.975,-0.007,HIGH,,False
V00003,2026-01-05 06:27:19.716605,S18,Paint,91.0,2.95,38.28,94.8,60.67,,0.956,-0.001,PARTIAL,,False
V00003,2026-01-05 06:28:50.717269,S19,Paint,105.25,2.17,35.63,,,,0.916,-0.102,MANUAL,,False
V00003,2026-01-05 06:30:35.969351,S20,Paint,84.51,3.9,39.46,93.2,61.75,0.528,0.961,-0.034,HIGH,PASS,False
V00003,2026-01-05 06:32:00.478839,S21,Final Assembly,69.83,2.55,53.81,,,,0.962,-0.162,MANUAL,,False
V00003,2026-01-05 06:33:10.305919,S22,Final Assembly,61.43,3.3,52.51,92.29,24.12,0.593,1.0,0.015,HIGH,PASS,False
V00003,2026-01-05 06:34:11.732555,S23,Final Assembly,70.03,2.51,48.21,,,,0.893,0.086,MANUAL,,False
V00003,2026-01-05 06:35:21.767055,S24,Final Assembly,79.96,2.85,48.51,,24.76,,0.859,0.005,PARTIAL,,False
V00003,2026-01-05 06:36:41.722129,S25,Final Assembly,62.83,1.48,58.18,,,,0.93,0.02,MANUAL,,False
V00003,2026-01-05 06:37:44.552980,S26,Final Assembly,63.54,2.82,53.04,,,,0.966,0.001,MANUAL,,False
V00003,2026-01-05 06:38:48.091617,S27,Final Assembly,72.06,2.54,50.4,96.38,,0.375,0.95,0.023,PARTIAL,,False
V00003,2026-01-05 06:40:00.151451,S28,Final Assembly,66.07,2.4,50.1,,,,0.887,0.034,MANUAL,,False
V00003,2026-01-05 06:41:06.218469,S29,Final Assembly,78.75,3.53,48.3,,,,0.922,-0.058,MANUAL,,False
V00003,2026-01-05 06:42:24.970743,S30,Final Assembly,65.99,2.1,54.34,99.93,24.29,0.527,0.884,-0.014,HIGH,PASS,False
V00004,2026-01-05 06:06:00.000000,S01,Body Construction,67.91,0.31,46.56,100.16,23.86,0.621,0.823,0.012,HIGH,,False
V00004,2026-01-05 06:07:07.910092,S02,Body Construction,83.12,1.1,46.83,95.51,23.61,0.643,1.0,-0.01,HIGH,,False
V00004,2026-01-05 06:08:31.030250,S03,Body Construction,88.03,2.03,47.97,100.05,24.44,0.818,0.964,-0.021,HIGH,,False
V00004,2026-01-05 06:09:59.060235,S04,Body Construction,86.77,1.71,43.26,102.8,24.33,,0.943,0.025,PARTIAL,,False
V00004,2026-01-05 06:11:25.827705,S05,Body Construction,61.86,2.53,49.91,95.53,24.1,0.431,0.963,-0.04,HIGH,,False
V00004,2026-01-05 06:12:27.692444,S06,Body Construction,71.22,1.53,49.25,98.32,24.87,0.506,0.854,-0.059,HIGH,,False
V00004,2026-01-05 06:13:38.910030,S07,Body Construction,75.94,1.82,47.22,100.48,,0.389,0.883,-0.066,PARTIAL,,False
V00004,2026-01-05 06:14:54.853854,S08,Body Construction,80.37,3.0,44.98,88.23,,,0.914,0.002,PARTIAL,,False
V00004,2026-01-05 06:16:15.223319,S09,Body Construction,80.47,2.84,43.01,98.61,22.16,0.539,0.934,-0.004,HIGH,,False
V00004,2026-01-05 06:17:35.689527,S10,Body Construction,76.67,1.5,54.61,96.13,24.08,0.392,0.9,0.012,HIGH,PASS,False
V00004,2026-01-05 06:18:52.360287,S11,Paint,85.68,3.79,41.85,105.63,61.64,0.312,0.917,-0.026,HIGH,,False
V00004,2026-01-05 06:20:18.037911,S12,Paint,93.67,2.54,38.52,,60.5,0.477,0.933,0.0,PARTIAL,,False
V00004,2026-01-05 06:21:51.703192,S13,Paint,99.61,3.93,38.95,102.4,,,0.968,0.052,PARTIAL,,False
V00004,2026-01-05 06:23:31.312438,S14,Paint,102.28,3.71,36.17,,,,0.813,0.038,MANUAL,,False
V00004,2026-01-05 06:25:13.594793,S15,Paint,66.39,1.62,42.93,98.53,59.15,0.637,0.911,0.067,HIGH,,False
V00004,2026-01-05 06:26:19.987887,S16,Paint,88.99,3.33,42.41,,,0.496,0.875,-0.015,PARTIAL,,False
V00004,2026-01-05 06:27:48.977635,S17,Paint,88.86,3.74,38.75,98.89,60.27,0.562,0.89,-0.031,HIGH,,False
V00004,2026-01-05 06:29:17.836203,S18,Paint,103.43,2.67,35.54,102.49,58.16,,0.959,0.022,PARTIAL,,False
V00004,2026-01-05 06:31:01.265436,S19,Paint,104.83,1.88,36.0,,,,1.0,0.131,MANUAL,,False
V00004,2026-01-05 06:32:46.095244,S20,Paint,84.44,3.28,43.33,100.69,60.99,0.494,0.901,-0.012,HIGH,PASS,False
V00004,2026-01-05 06:34:10.535600,S21,Final Assembly,68.01,2.77,54.01,,,,0.988,-0.05,MANUAL,,False
V00004,2026-01-05 06:35:18.547813,S22,Final Assembly,63.95,1.66,49.15,99.47,23.6,0.562,0.944,0.009,HIGH,PASS,False
V00004,2026-01-05 06:36:22.497106,S23,Final Assembly,76.74,0.81,48.12,,,,0.978,0.02,MANUAL,,False
V00004,2026-01-05 06:37:39.232744,S24,Final Assembly,74.69,2.89,46.01,,23.33,,0.957,-0.057,PARTIAL,,False
V00004,2026-01-05 06:38:53.921076,S25,Final Assembly,68.8,3.06,55.55,,,,0.892,0.044,MANUAL,,False
V00004,2026-01-05 06:40:02.719263,S26,Final Assembly,62.93,2.34,53.12,,,,0.946,0.012,MANUAL,,False
V00004,2026-01-05 06:41:05.652901,S27,Final Assembly,72.89,2.38,52.92,101.46,,0.494,0.887,0.027,PARTIAL,,False
V00004,2026-01-05 06:42:18.547437,S28,Final Assembly,80.42,2.44,48.36,,,,0.939,0.132,MANUAL,,False
V00004,2026-01-05 06:43:38.963796,S29,Final Assembly,89.98,2.03,48.77,,,,0.934,-0.041,MANUAL,,False
V00004,2026-01-05 06:45:08.942350,S30,Final Assembly,59.55,1.27,56.47,97.68,24.01,0.579,0.937,-0.02,HIGH,PASS,False
V00005,2026-01-05 06:07:30.000000,S01,Body Construction,72.71,3.26,50.05,106.03,25.36,0.561,0.954,0.016,HIGH,,False
V00005,2026-01-05 06:08:42.706196,S02,Body Construction,71.0,2.56,45.44,100.88,25.01,0.649,0.919,-0.035,HIGH,,False
V00005,2026-01-05 06:09:53.702337,S03,Body Construction,77.86,2.08,45.68,102.5,24.42,0.401,0.948,0.0,HIGH,,False
V00005,2026-01-05 06:11:11.562664,S04,Body Construction,78.31,1.81,43.66,103.62,23.88,,0.846,-0.054,PARTIAL,,False
V00005,2026-01-05 06:12:29.873583,S05,Body Construction,68.9,1.45,53.56,102.73,24.07,0.504,0.926,0.0,HIGH,,False
V00005,2026-01-05 06:13:38.768674,S06,Body Construction,80.53,0.14,46.35,98.41,24.83,0.547,0.915,0.031,HIGH,,False
V00005,2026-01-05 06:14:59.296996,S07,Body Construction,80.7,2.15,48.74,99.41,,,0.93,0.088,PARTIAL,,False
V00005,2026-01-05 06:16:19.994688,S08,Body Construction,67.38,0.87,43.95,98.27,,,0.896,0.147,PARTIAL,,False
V00005,2026-01-05 06:17:27.377554,S09,Body Construction,90.86,1.67,43.42,91.78,23.86,0.4,0.927,-0.048,HIGH,,False
V00005,2026-01-05 06:18:58.242124,S10,Body Construction,66.8,2.12,51.99,97.95,25.03,0.42,0.955,-0.0,HIGH,PASS,False
V00005,2026-01-05 06:20:05.041831,S11,Paint,87.31,3.29,41.19,103.41,61.21,0.474,0.96,0.058,HIGH,,False
V00005,2026-01-05 06:21:32.353336,S12,Paint,103.94,2.02,37.63,,58.41,0.451,0.947,-0.006,PARTIAL,,False
V00005,2026-01-05 06:23:16.292840,S13,Paint,93.21,2.46,36.32,103.07,,,0.91,-0.011,PARTIAL,,False
V00005,2026-01-05 06:24:49.506559,S14,Paint,96.68,0.88,34.17,,,,0.928,0.129,MANUAL,,False
V00005,2026-01-05 06:26:26.182422,S15,Paint,87.1,3.63,41.21,103.39,59.31,0.556,0.953,-0.016,HIGH,,False
V00005,2026-01-05 06:27:53.278433,S16,Paint,83.0,2.05,40.55,,,0.557,0.955,0.093,PARTIAL,,False
V00005,2026-01-05 06:29:16.282850,S17,Paint,100.13,2.2,40.66,101.02,60.08,0.459,0.858,-0.005,HIGH,,False
V00005,2026-01-05 06:30:56.408403,S18,Paint,87.92,3.77,38.8,98.36,59.13,,0.961,-0.002,PARTIAL,,False
V00005,2026-01-05 06:32:24.332793,S19,Paint,111.54,2.61,36.71,,,,0.925,-0.084,MANUAL,,False
V00005,2026-01-05 06:34:15.875060,S20,Paint,88.38,3.52,43.11,108.23,59.55,0.537,0.905,0.001,HIGH,PASS,False
V00005,2026-01-05 06:35:44.251676,S21,Final Assembly,74.61,2.79,52.59,,,,0.932,0.025,MANUAL,,False
V00005,2026-01-05 06:36:58.861562,S22,Final Assembly,65.35,2.48,53.75,102.9,23.47,0.461,0.845,0.008,HIGH,PASS,False
V00005,2026-01-05 06:38:04.211115,S23,Final Assembly,67.0,1.97,46.96,,,,0.96,-0.025,MANUAL,,False
V00005,2026-01-05 06:39:11.215365,S24,Final Assembly,65.54,1.7,48.48,,22.58,,0.903,0.024,PARTIAL,,False
V00005,2026-01-05 06:40:16.754492,S25,Final Assembly,67.21,3.97,55.05,,,,0.908,-0.002,MANUAL,,False
V00005,2026-01-05 06:41:23.959787,S26,Final Assembly,61.62,2.68,54.48,,,,0.855,-0.107,MANUAL,,False
V00005,2026-01-05 06:42:25.583219,S27,Final Assembly,74.73,2.72,51.33,106.75,,0.771,0.921,-0.048,PARTIAL,,False
V00005,2026-01-05 06:43:40.317295,S28,Final Assembly,75.9,2.85,47.88,,,,0.967,-0.011,MANUAL,,False
V00005,2026-01-05 06:44:56.216711,S29,Final Assembly,75.83,2.95,44.94,,,,0.91,-0.041,MANUAL,,False
V00005,2026-01-05 06:46:12.048399,S30,Final Assembly,64.01,2.2,56.91,96.96,23.54,0.538,0.885,0.04,HIGH,PASS,False
V00006,2026-01-05 06:09:00.000000,S01,Body Construction,77.2,0.79,50.54,97.2,23.97,0.536,0.952,0.005,HIGH,,False
V00006,2026-01-05 06:10:17.203007,S02,Body Construction,77.33,3.18,49.11,90.61,23.8,0.325,0.934,0.037,HIGH,,False
V00006,2026-01-05 06:11:34.531022,S03,Body Construction,73.85,2.27,44.32,101.68,23.35,0.546,0.855,0.056,HIGH,,False
V00006,2026-01-05 06:12:48.380690,S04,Body Construction,84.97,1.85,44.66,98.73,23.61,,0.91,-0.035,PARTIAL,,False
V00006,2026-01-05 06:14:13.345740,S05,Body Construction,72.92,2.2,52.43,101.26,23.5,0.723,0.867,0.038,HIGH,,False
V00006,2026-01-05 06:15:26.263357,S06,Body Construction,78.99,1.32,52.61,105.41,24.03,0.478,0.922,0.012,HIGH,,False
V00006,2026-01-05 06:16:45.254791,S07,Body Construction,82.39,2.15,46.07,104.78,,0.575,0.919,-0.056,PARTIAL,,False
V00006,2026-01-05 06:18:07.644201,S08,Body Construction,74.88,0.69,45.89,98.65,,,0.975,-0.04,PARTIAL,,False
V00006,2026-01-05 06:19:22.528964,S09,Body Construction,83.77,0.89,45.8,100.29,26.79,0.652,0.918,-0.018,HIGH,,False
V00006,2026-01-05 06:20:46.303075,S10,Body Construction,68.63,2.41,51.27,102.48,23.86,0.73,0.934,0.054,HIGH,PASS,False
V00006,2026-01-05 06:21:54.935786,S11,Paint,94.14,2.42,39.41,103.85,60.05,0.371,0.876,-0.043,HIGH,,False
V00006,2026-01-05 06:23:29.077995,S12,Paint,83.14,3.09,40.02,,59.77,0.484,1.0,-0.087,PARTIAL,,False
V00006,2026-01-05 06:24:52.214664,S13,Paint,94.73,4.36,37.61,101.98,,,0.898,0.053,PARTIAL,,False
V00006,2026-01-05 06:26:26.940920,S14,Paint,92.68,3.26,35.83,,,,0.916,-0.11,MANUAL,,False
V00006,2026-01-05 06:27:59.620522,S15,Paint,86.65,2.08,43.26,95.04,59.25,0.633,0.943,-0.006,HIGH,,False
V00006,2026-01-05 06:29:26.266789,S16,Paint,91.66,1.31,40.4,,,0.555,0.966,-0.12,PARTIAL,,False
V00006,2026-01-05 06:30:57.929951,S17,Paint,83.61,3.17,37.88,103.15,57.68,0.373,0.82,-0.007,HIGH,,False
V00006,2026-01-05 06:32:21.542569,S18,Paint,95.9,2.66,38.31,103.17,57.44,,0.952,0.019,PARTIAL,,False
V00006,2026-01-05 06:33:57.446174,S19,Paint,106.95,2.07,37.79,,,,0.991,-0.026,MANUAL,,False
V00006,2026-01-05 06:35:44.393941,S20,Paint,89.28,3.19,42.22,103.5,57.86,0.42,0.952,0.012,HIGH,PASS,False
V00006,2026-01-05 06:37:13.677546,S21,Final Assembly,65.04,2.03,52.36,,,,0.962,-0.015,MANUAL,,False
V00006,2026-01-05 06:38:18.722229,S22,Final Assembly,69.33,2.61,49.46,94.21,23.24,0.384,0.936,0.022,HIGH,PASS,False
V00006,2026-01-05 06:39:28.052139,S23,Final Assembly,74.11,2.32,49.15,,,,0.971,-0.221,MANUAL,,False
V00006,2026-01-05 06:40:42.163711,S24,Final Assembly,78.6,3.45,46.54,,23.86,,0.836,0.057,PARTIAL,,False
V00006,2026-01-05 06:42:00.760967,S25,Final Assembly,61.16,2.14,53.08,,,,0.948,0.032,MANUAL,,False
V00006,2026-01-05 06:43:01.919487,S26,Final Assembly,68.97,3.76,51.25,,,,0.918,0.136,MANUAL,,False
V00006,2026-01-05 06:44:10.892978,S27,Final Assembly,73.16,2.66,50.37,99.57,,0.496,0.933,-0.041,PARTIAL,,False
V00006,2026-01-05 06:45:24.057395,S28,Final Assembly,76.36,4.83,46.06,,,,0.96,0.118,MANUAL,,False
V00006,2026-01-05 06:46:40.420050,S29,Final Assembly,77.89,3.41,43.47,,,,0.897,0.015,MANUAL,,False
V00006,2026-01-05 06:47:58.309035,S30,Final Assembly,64.93,2.73,57.19,97.14,24.01,0.48,0.871,0.015,HIGH,PASS,False
V00007,2026-01-05 06:10:30.000000,S01,Body Construction,70.98,2.52,47.11,99.86,25.4,0.482,0.902,-0.015,HIGH,,False
V00007,2026-01-05 06:11:40.981427,S02,Body Construction,81.8,2.43,46.82,95.37,24.47,0.324,0.96,0.004,HIGH,,False
V00007,2026-01-05 06:13:02.785773,S03,Body Construction,90.31,1.12,45.43,108.37,23.16,0.522,0.93,0.008,HIGH,,False
V00007,2026-01-05 06:14:33.099924,S04,Body Construction,78.56,1.93,41.8,101.53,23.73,,0.97,0.022,PARTIAL,,False
V00007,2026-01-05 06:15:51.662417,S05,Body Construction,66.95,1.78,49.11,95.58,25.47,0.436,0.956,-0.016,HIGH,,False
V00007,2026-01-05 06:16:58.613153,S06,Body Construction,74.09,1.89,50.61,94.46,22.34,0.447,0.88,0.012,HIGH,,False
V00007,2026-01-05 06:18:12.699164,S07,Body Construction,73.88,3.9,44.9,97.79,,0.514,0.837,0.014,PARTIAL,,False
V00007,2026-01-05 06:19:26.575261,S08,Body Construction,88.02,1.64,45.92,102.66,,,0.956,-0.007,PARTIAL,,False
V00007,2026-01-05 06:20:54.595042,S09,Body Construction,77.02,2.1,43.13,99.93,22.39,0.605,0.874,-0.02,HIGH,,False
V00007,2026-01-05 06:22:11.612638,S10,Body Construction,78.08,2.9,51.58,95.86,24.09,0.504,0.926,-0.001,HIGH,PASS,False
V00007,2026-01-05 06:23:29.689012,S11,Paint,81.3,2.59,41.56,95.42,59.02,0.511,0.914,0.044,HIGH,,False
V00007,2026-01-05 06:24:50.988845,S12,Paint,95.83,1.95,39.49,,60.38,0.451,0.966,-0.046,PARTIAL,,False
V00007,2026-01-05 06:26:26.815579,S13,Paint,93.4,2.47,36.48,104.87,,,0.889,0.004,PARTIAL,,False
V00007,2026-01-05 06:28:00.213310,S14,Paint,93.87,2.38,34.97,,,,0.964,-0.092,MANUAL,,False
V00007,2026-01-05 06:29:34.085536,S15,Paint,99.33,2.64,42.44,100.38,61.34,0.53,0.876,0.006,HIGH,,False
V00007,2026-01-05 06:31:13.414338,S16,Paint,83.01,4.17,41.43,,,0.569,0.979,0.067,PARTIAL,,False
V00007,2026-01-05 06:32:36.425896,S17,Paint,84.12,3.24,39.89,95.01,60.33,0.47,0.856,-0.01,HIGH,,False
V00007,2026-01-05 06:34:00.542464,S18,Paint,95.1,2.88,36.49,98.57,,,0.914,0.006,PARTIAL,,False
V00007,2026-01-05 06:35:35.637546,S19,Paint,89.36,3.38,35.64,,,,0.941,-0.001,MANUAL,,False
V00007,2026-01-05 06:37:04.996796,S20,Paint,85.87,2.63,43.2,104.01,59.69,0.289,0.961,0.037,HIGH,PASS,False
V00007,2026-01-05 06:38:30.864698,S21,Final Assembly,64.41,3.04,54.31,,,,0.932,-0.112,MANUAL,,False
V00007,2026-01-05 06:39:35.275757,S22,Final Assembly,72.77,2.96,50.84,100.01,25.77,0.41,0.907,0.0,HIGH,PASS,False
V00007,2026-01-05 06:40:48.042022,S23,Final Assembly,67.35,1.45,45.67,,,,0.904,0.023,MANUAL,,False
V00007,2026-01-05 06:41:55.393685,S24,Final Assembly,75.62,3.04,47.42,,25.25,,0.874,0.039,PARTIAL,,False
V00007,2026-01-05 06:43:11.010744,S25,Final Assembly,60.77,3.63,57.09,,,,0.915,0.024,MANUAL,,False
V00007,2026-01-05 06:44:11.780763,S26,Final Assembly,71.56,2.05,51.96,,,,1.0,0.143,MANUAL,,False
V00007,2026-01-05 06:45:23.338255,S27,Final Assembly,64.07,3.08,52.87,98.88,,0.527,0.887,0.012,PARTIAL,,False
